id,hypers,roc,acc
85,"Namespace(experiment_id='85', head_linear=555, head_ps=0.7017269377531857, lr=0.001608071264895591, lr_mult=86.96191554495715, mask_prob=0.15363333069822083, max_masked=0, max_tgt_length=93, stem_ps=0.26293743920166895, train_epochs=8, vis_mask_prob=0.10524285136384577)",0.7420540157165438,0.6788461804389954
86,"Namespace(experiment_id='86', head_linear=525, head_ps=0.614204347187417, lr=0.0008595409311232427, lr_mult=47.04307739152405, mask_prob=0.2159153756326452, max_masked=3, max_tgt_length=94, stem_ps=0.27053986904024196, train_epochs=8, vis_mask_prob=0.24157762659192852)",0.7359801713503175,0.6817307472229004
87,"Namespace(experiment_id='87', head_linear=482, head_ps=0.6811824494070964, lr=0.0016363426216879427, lr_mult=103.49515272142796, mask_prob=0.18957392702796247, max_masked=28, max_tgt_length=98, stem_ps=0.2687189975987541, train_epochs=8, vis_mask_prob=0.25534354524209935)",0.7530208887430161,0.6884615421295166
88,"Namespace(experiment_id='88', head_linear=588, head_ps=0.7563047852944763, lr=0.0014409694439164004, lr_mult=78.47974081813551, mask_prob=0.2715973476396892, max_masked=7, max_tgt_length=73, stem_ps=0.27614334278694713, train_epochs=8, vis_mask_prob=0.12194988707475635)",0.7394471669854492,0.6788461804389954
89,"Namespace(experiment_id='89', head_linear=505, head_ps=0.6930269978543461, lr=0.0003502416468268028, lr_mult=15.560829475081116, mask_prob=0.20452970528164666, max_masked=9, max_tgt_length=79, stem_ps=0.21577602845683544, train_epochs=8, vis_mask_prob=0.1400369585703589)",0.7302571763791588,0.6682692170143127
90,"Namespace(experiment_id='90', head_linear=571, head_ps=0.5353148880269745, lr=0.0007362954999069134, lr_mult=39.80490259718236, mask_prob=0.2397557371536173, max_masked=22, max_tgt_length=71, stem_ps=0.2719375312292221, train_epochs=8, vis_mask_prob=0.14354167060848877)",0.7315473967352144,0.6788461804389954
91,"Namespace(experiment_id='91', head_linear=502, head_ps=0.5862642914792127, lr=0.000580881776729867, lr_mult=24.849474369546414, mask_prob=0.012358734008745209, max_masked=17, max_tgt_length=91, stem_ps=0.23398279019565232, train_epochs=8, vis_mask_prob=0.19164930593520846)",0.7388812808643721,0.6846153736114502
92,"Namespace(experiment_id='92', head_linear=518, head_ps=0.5289259898023108, lr=0.0015916262807646343, lr_mult=88.68633203622052, mask_prob=0.02163912504494717, max_masked=8, max_tgt_length=75, stem_ps=0.24516638473570615, train_epochs=8, vis_mask_prob=0.26209906145221484)",0.7326923729868602,0.6836538314819336
93,"Namespace(experiment_id='93', head_linear=434, head_ps=0.6864725993965222, lr=0.001675131161380311, lr_mult=84.84830794988602, mask_prob=0.050035094646799616, max_masked=22, max_tgt_length=90, stem_ps=0.214368948884602, train_epochs=8, vis_mask_prob=0.2997424746264579)",0.7463962485522746,0.6951923370361328
94,"Namespace(experiment_id='94', head_linear=529, head_ps=0.561063796440769, lr=0.0016025821078711143, lr_mult=102.0467649712423, mask_prob=0.111778779822036, max_masked=19, max_tgt_length=70, stem_ps=0.23071411121582125, train_epochs=8, vis_mask_prob=0.13299996364645902)",0.7382889867243116,0.6721153855323792
95,"Namespace(experiment_id='95', head_linear=549, head_ps=0.7674666405392288, lr=0.0017101691796448796, lr_mult=59.64754901360055, mask_prob=0.2706084449931433, max_masked=13, max_tgt_length=85, stem_ps=0.21393774624090006, train_epochs=8, vis_mask_prob=0.2733540212594446)",0.7413806112324623,0.6778846383094788
96,"Namespace(experiment_id='96', head_linear=421, head_ps=0.7140758443815036, lr=0.0017789499401924956, lr_mult=88.7496022757775, mask_prob=0.04842019029608152, max_masked=31, max_tgt_length=96, stem_ps=0.24551828686551422, train_epochs=8, vis_mask_prob=0.2670787012477669)",0.7548487009140947,0.6961538195610046
97,"Namespace(experiment_id='97', head_linear=596, head_ps=0.6022637662958694, lr=0.0010813226572154058, lr_mult=54.14962635756071, mask_prob=0.22692332197772938, max_masked=28, max_tgt_length=92, stem_ps=0.2831869678032124, train_epochs=8, vis_mask_prob=0.13380437537482295)",0.7526832433574402,0.682692289352417
98,"Namespace(experiment_id='98', head_linear=550, head_ps=0.749409519700329, lr=0.0011630531910959512, lr_mult=76.30252597917398, mask_prob=0.12698146968344573, max_masked=26, max_tgt_length=83, stem_ps=0.23271696407761702, train_epochs=8, vis_mask_prob=0.14998711140348175)",0.7460586031666988,0.6836538314819336
